gender,sleep_hours,doom_scrolling_time,productive_screen_time,study_hours,medical_issue,drug_addiction,math_score,physics_score,chemistry_score,biology_score,english_score,performance
male,5.9,2.6,7.5,2.5,no,no,60,24,30,48,57,Just Pass
female,8.1,4.1,9.7,3.0,yes,no,66,33,66,65,61,Decent
male,8.0,2.3,3.4,1.7,no,no,38,97,38,19,98,Decent
female,9.8,3.0,4.7,4.8,no,no,54,85,87,69,100,Nice
male,6.7,2.5,4.2,7.0,no,no,77,80,42,46,74,Decent
male,8.0,2.1,3.5,3.4,no,no,39,65,50,32,70,Decent
female,7.1,1.6,2.3,3.2,no,no,29,48,56,98,94,Decent
male,8.9,3.9,1.8,4.7,no,no,21,65,23,27,81,Just Pass
female,5.9,5.6,1.7,0.0,no,no,23,65,0,25,75,Just Pass
male,8.1,5.3,4.8,3.1,no,no,7,15,34,19,92,Just Pass
male,6.7,0.5,3.0,5.0,no,no,76,100,72,46,100,Nice
male,6.9,5.6,0.0,1.7,no,no,8,14,56,20,0,Worst
female,7.1,2.4,4.9,0.5,no,no,39,46,44,34,33,Just Pass
male,7.4,4.2,3.9,2.6,no,no,29,5,53,67,43,Just Pass
male,6.8,1.2,6.7,2.9,no,no,78,70,69,89,82,Nice
male,7.3,3.3,4.7,1.2,no,no,87,40,53,53,32,Decent
male,9.4,3.6,1.0,7.2,no,no,77,38,23,75,46,Decent
female,8.5,0.0,0.0,2.0,no,no,60,100,46,87,46,Decent
female,8.3,4.2,2.6,0.7,no,no,61,37,15,94,90,Decent
male,6.3,5.7,2.7,2.8,no,no,0,39,51,43,41,Just Pass
female,5.7,2.7,5.9,4.8,no,no,28,62,91,100,30,Decent
male,8.4,5.7,4.0,3.0,no,no,9,11,57,49,0,Worst
male,8.3,2.6,6.3,4.0,no,no,23,53,36,92,37,Just Pass
male,9.2,4.7,1.4,1.3,no,no,20,27,14,51,87,Just Pass
female,6.1,0.0,5.9,6.0,no,no,79,72,29,100,100,Nice
female,6.7,7.8,5.4,4.1,no,no,11,85,42,44,52,Just Pass
female,4.5,6.0,0.0,5.1,no,no,91,17,41,67,62,Decent
female,6.4,2.4,6.6,3.7,no,no,100,75,38,61,94,Nice
female,8.5,0.0,4.2,4.6,no,no,100,23,96,100,25,Decent
female,6.3,3.6,4.8,1.3,no,no,6,33,40,100,39,Just Pass
female,8.0,0.1,2.3,2.0,no,no,94,56,75,33,73,Decent
female,6.7,3.9,6.6,5.7,no,no,97,24,81,64,100,Nice
female,7.5,3.8,1.6,6.1,no,no,100,65,71,19,83,Decent
male,5.3,1.1,5.7,0.7,no,no,59,38,97,21,42,Decent
female,7.1,5.2,5.6,3.5,no,no,83,100,6,97,95,Nice
female,2.5,4.6,2.1,2.1,no,no,0,50,0,41,53,Worst
female,6.7,5.0,8.0,1.6,no,no,11,28,76,43,87,Just Pass
female,4.6,3.0,4.5,3.6,no,no,19,18,43,75,46,Just Pass
female,8.8,0.2,5.3,5.3,no,no,100,27,100,79,23,Decent
female,8.2,5.0,0.9,3.9,no,no,6,9,21,28,16,Worst
female,7.7,2.5,8.2,2.4,no,no,23,81,31,35,100,Decent
female,9.3,0.2,1.6,4.0,no,no,100,98,71,72,16,Nice
female,5.6,5.7,6.0,2.3,no,no,11,16,28,19,60,Worst
female,9.6,7.2,2.0,3.8,no,yes,57,11,5,0,11,Worst
female,8.4,2.9,2.8,5.8,no,no,92,49,100,45,56,Decent
male,6.6,7.3,5.6,0.0,no,no,0,54,0,76,30,Worst
male,8.7,3.2,6.1,4.6,no,no,16,32,67,17,20,Worst
female,5.3,2.2,1.5,0.0,yes,no,34,76,14,64,0,Just Pass
female,5.8,1.7,6.2,5.5,no,no,100,93,55,83,27,Nice
male,6.1,6.3,6.1,1.7,no,no,85,93,22,2,3,Just Pass
female,6.2,1.4,2.1,0.6,no,no,32,28,14,61,9,Worst
male,5.4,4.5,7.2,4.4,no,no,50,70,15,54,81,Decent
male,8.8,1.9,1.1,3.7,no,no,46,81,100,92,19,Decent
male,6.6,2.1,2.8,1.0,no,no,74,72,67,91,27,Decent
male,7.5,5.1,5.0,0.5,no,no,30,0,73,24,61,Just Pass
male,6.1,2.2,2.3,2.6,no,no,19,100,11,83,16,Just Pass
female,4.3,2.2,4.5,0.6,no,no,74,92,1,30,91,Decent
male,7.4,5.3,4.5,0.9,no,no,41,7,56,25,43,Just Pass
female,4.1,6.2,3.6,3.2,no,no,2,49,67,14,91,Just Pass
female,6.9,4.3,5.7,1.1,no,no,80,32,40,68,20,Just Pass
male,4.9,1.7,3.5,3.9,no,no,70,99,50,38,15,Decent
male,10.0,2.0,4.5,6.0,no,no,67,88,57,65,78,Nice
female,8.4,3.2,6.3,2.7,yes,no,61,16,9,75,26,Just Pass
male,7.2,3.6,5.6,3.3,no,no,59,12,84,88,66,Decent
male,8.9,1.0,5.6,7.0,no,no,90,55,47,100,73,Nice
female,5.7,4.4,1.7,0.6,no,no,79,0,25,9,38,Worst
female,7.8,3.2,5.0,5.4,no,no,76,29,82,73,100,Nice
male,7.3,0.0,2.2,5.1,no,no,83,81,18,100,37,Decent
female,7.4,1.1,1.4,4.7,no,no,74,87,89,17,62,Decent
male,8.9,2.0,3.9,5.6,no,no,70,63,100,96,58,Nice
male,8.1,2.9,2.2,3.6,no,no,23,66,11,30,73,Just Pass
male,7.4,6.8,5.6,1.8,no,no,29,11,55,62,1,Worst
female,4.5,3.5,5.6,5.2,no,no,82,44,53,84,65,Decent
female,5.6,1.3,0.2,5.3,yes,no,39,68,4,89,44,Just Pass
female,6.8,3.4,2.3,5.2,no,no,50,46,78,60,100,Decent
female,7.1,2.3,1.1,3.1,no,no,80,39,66,89,80,Decent
female,5.3,3.6,3.1,1.6,no,no,0,19,64,4,15,Worst
male,10.6,4.2,4.9,3.4,no,no,74,66,88,49,57,Decent
male,9.3,5.4,3.5,4.9,no,no,54,86,34,49,84,Decent
male,7.9,3.0,2.8,5.0,no,no,48,57,78,64,63,Decent
male,7.1,6.3,6.6,2.1,no,no,34,11,74,48,35,Just Pass
female,6.7,4.8,0.0,3.6,no,no,15,81,14,94,35,Just Pass
male,5.6,1.6,6.5,0.4,no,no,39,13,100,13,42,Just Pass
female,7.1,7.4,2.9,5.0,no,no,39,47,33,26,1,Worst
male,7.4,3.7,3.8,1.4,no,no,43,26,71,96,73,Decent
female,5.1,1.3,2.9,4.6,no,no,81,100,89,58,75,Nice
female,7.5,6.3,7.1,0.7,no,no,42,70,47,54,23,Just Pass
male,6.8,7.2,1.5,5.1,no,no,78,55,11,7,62,Just Pass
male,4.1,2.9,4.0,3.6,no,no,68,71,32,33,35,Just Pass
male,5.7,2.0,5.1,1.4,no,no,24,59,29,9,30,Worst
male,6.4,2.7,0.8,4.4,no,no,34,21,58,20,81,Just Pass
female,9.8,4.4,2.2,1.8,no,no,4,67,23,60,77,Just Pass
male,7.8,5.6,3.7,4.5,no,no,99,54,59,81,67,Nice
male,5.0,4.1,2.2,2.5,no,no,88,63,28,87,78,Decent
female,7.7,3.2,2.4,0.0,no,no,3,0,0,20,31,Worst
male,4.7,6.0,3.3,1.0,yes,no,33,0,12,9,0,Worst
male,8.6,2.4,5.3,2.1,no,no,100,66,68,64,68,Nice
male,6.3,5.1,3.3,5.7,no,no,83,54,86,17,34,Decent
male,6.9,2.4,6.2,4.8,no,no,66,39,19,97,94,Decent
male,9.0,3.9,2.0,6.2,no,no,35,35,36,59,46,Just Pass
female,5.1,2.8,1.5,6.3,no,no,41,77,100,100,81,Nice
male,4.9,2.9,7.9,1.9,no,no,82,14,35,20,64,Just Pass
male,6.1,2.2,2.7,2.6,no,no,84,49,83,19,87,Decent
male,8.6,5.7,1.4,2.2,no,no,46,46,44,28,77,Just Pass
male,4.7,1.5,0.5,1.7,no,no,12,30,12,20,6,Worst
male,2.8,1.5,6.2,0.0,no,no,89,78,60,65,25,Decent
female,6.3,7.2,3.3,3.0,no,no,79,0,91,89,82,Decent
male,7.8,5.0,3.5,0.4,no,no,7,79,81,1,33,Just Pass
female,8.8,0.0,3.7,2.9,no,no,19,86,83,38,65,Decent
female,6.3,1.9,6.0,7.2,no,no,78,69,76,48,43,Decent
male,6.4,0.0,3.6,2.0,no,no,39,100,42,61,66,Decent
male,8.7,1.1,8.7,3.4,no,no,48,90,55,65,46,Decent
male,4.2,0.0,4.3,4.8,no,no,25,100,51,89,99,Nice
male,6.4,2.7,6.1,3.6,no,no,100,60,100,86,33,Nice
female,7.3,0.7,5.6,3.6,no,no,100,62,38,74,52,Decent
male,7.7,3.1,3.9,2.3,no,no,16,58,42,64,14,Just Pass
male,6.2,0.0,2.8,2.5,no,no,98,17,54,95,69,Decent
male,7.1,3.2,4.7,1.1,no,no,70,92,42,41,96,Decent
male,3.3,2.2,5.0,4.7,no,no,41,75,9,10,26,Worst
male,6.0,6.0,2.9,0.0,no,no,76,50,16,10,0,Worst
male,7.7,5.8,4.3,4.9,no,no,65,98,55,9,48,Decent
female,5.5,4.6,6.5,0.2,no,no,82,97,74,37,72,Nice
female,7.1,2.3,8.1,4.9,no,no,67,37,77,56,100,Decent
male,7.7,7.0,5.7,2.3,no,no,47,71,35,6,2,Worst
male,6.5,0.0,7.7,0.5,no,no,42,70,79,88,91,Nice
male,7.3,0.2,2.7,4.2,no,no,54,62,82,71,52,Decent
female,5.6,2.8,5.4,4.9,no,no,71,100,39,37,30,Decent
male,6.7,7.5,6.7,2.1,no,no,91,82,7,72,16,Decent
female,7.9,2.6,2.2,4.4,no,no,70,79,90,76,100,Good
male,7.2,2.6,3.0,0.0,no,no,12,36,50,17,78,Just Pass
male,6.1,0.1,7.5,0.4,no,no,12,78,29,100,43,Decent
male,7.3,4.9,2.0,5.6,no,no,92,60,33,24,100,Decent
male,8.1,4.9,1.3,2.6,no,no,33,21,73,74,7,Just Pass
female,3.9,4.6,7.1,0.0,no,no,25,39,59,90,26,Just Pass
female,8.7,1.7,6.4,1.6,no,no,90,31,100,82,75,Nice
male,6.5,1.6,4.9,1.2,no,no,100,56,52,72,100,Nice
male,7.6,0.4,3.9,2.7,yes,no,71,69,2,87,43,Decent
female,8.8,3.2,3.1,2.3,no,no,20,6,73,29,84,Just Pass
female,4.9,0.8,4.6,3.4,no,no,53,90,39,41,100,Decent
female,5.9,0.6,7.2,2.9,no,no,93,19,50,82,18,Decent
female,6.6,2.2,4.5,5.7,no,no,100,69,37,100,46,Decent
male,5.8,2.0,8.3,3.8,no,no,100,75,48,79,28,Decent
female,9.6,1.9,2.2,3.9,no,no,61,86,92,100,87,Good
male,5.7,3.9,4.0,5.3,no,no,94,88,69,34,68,Decent
female,6.2,3.2,3.3,2.2,no,no,7,44,13,85,12,Worst
female,7.3,2.4,1.8,0.5,yes,no,11,0,41,75,25,Worst
female,5.2,3.4,3.7,5.4,no,no,50,82,76,55,64,Decent
female,6.4,1.0,4.8,3.3,no,no,100,65,100,100,83,Good
female,7.5,3.2,5.0,3.3,no,no,9,42,94,29,86,Decent
male,6.5,3.3,8.3,1.7,no,no,39,32,15,100,17,Just Pass
male,6.9,0.0,4.9,1.8,yes,no,90,8,83,87,45,Decent
female,6.2,5.0,6.3,4.7,no,no,41,40,16,17,27,Worst
female,4.7,1.2,4.1,5.0,no,no,38,61,31,68,91,Decent
male,7.5,3.2,7.4,4.6,no,no,89,63,27,68,81,Decent
female,9.6,5.3,8.8,4.6,no,no,87,71,31,18,85,Decent
female,7.0,4.9,5.1,4.1,no,no,54,43,87,10,14,Just Pass
male,7.3,3.1,2.0,3.3,no,no,99,96,73,5,56,Decent
female,8.0,2.3,2.9,2.6,no,no,26,55,74,58,90,Decent
female,5.1,4.9,4.6,5.4,no,no,100,52,100,56,81,Nice
male,9.6,4.3,4.9,2.3,no,no,78,7,42,97,89,Decent
male,7.3,1.8,5.4,3.7,no,no,50,73,14,48,34,Just Pass
male,9.4,1.4,4.9,1.4,no,no,88,68,71,73,36,Decent
female,5.9,0.0,4.0,1.7,no,no,24,69,97,11,55,Decent
male,9.7,3.3,2.7,2.5,no,no,16,91,100,69,55,Decent
male,8.2,2.8,4.8,1.4,no,no,96,80,40,95,29,Decent
male,7.8,5.3,7.7,4.6,no,no,21,98,94,47,50,Decent
male,7.4,3.7,6.0,0.3,no,no,0,5,84,31,68,Just Pass
male,6.6,5.7,5.1,3.2,no,no,41,34,17,65,67,Just Pass
male,8.8,1.6,6.1,3.3,no,no,25,46,78,47,26,Just Pass
female,7.2,5.3,3.3,0.0,no,no,77,56,8,31,89,Decent
female,4.0,1.9,3.0,2.1,no,no,94,46,46,29,58,Decent
male,5.3,4.6,2.5,3.5,yes,no,35,64,74,21,35,Just Pass
male,6.7,0.1,3.7,3.9,no,no,59,55,95,84,100,Nice
male,7.5,3.5,3.2,2.6,no,no,56,25,60,95,17,Decent
female,6.9,0.0,6.4,4.4,no,no,44,51,100,80,76,Decent
female,8.8,2.5,3.0,2.8,no,no,35,24,21,7,86,Just Pass
female,4.1,3.9,2.4,3.0,no,no,9,18,18,25,38,Worst
female,7.2,2.0,7.9,3.5,no,no,61,38,37,100,90,Decent
female,4.3,0.9,3.1,4.9,no,no,75,15,91,100,100,Nice
female,8.1,4.7,4.3,1.6,no,no,92,70,88,10,25,Decent
female,6.9,2.8,4.9,2.0,no,no,79,45,62,96,30,Decent
female,7.6,2.0,1.7,1.7,no,no,74,4,97,98,38,Decent
female,5.7,3.1,6.5,2.3,no,no,38,45,80,40,49,Decent
male,8.9,8.3,5.3,5.9,no,no,92,94,60,74,15,Decent
male,8.6,5.3,7.1,4.1,no,no,100,60,70,64,32,Decent
male,7.9,5.3,2.6,0.7,no,no,85,90,76,25,79,Nice
male,6.8,3.9,4.2,1.8,no,no,4,54,10,16,57,Worst
female,7.9,3.3,4.1,3.7,no,no,69,100,25,45,35,Decent
female,5.9,0.0,4.5,1.2,no,no,74,30,36,100,100,Decent
male,8.3,1.6,1.1,1.5,no,no,31,30,91,83,79,Decent
female,9.5,2.0,4.2,5.7,no,no,100,87,100,51,54,Nice
male,8.6,0.0,1.1,1.8,no,no,36,100,42,61,83,Decent
female,5.9,0.7,4.7,4.9,no,no,41,100,100,60,79,Nice
male,7.5,0.0,0.0,5.5,no,no,64,71,70,62,84,Decent
female,5.1,2.9,0.3,1.5,no,no,29,5,44,73,29,Just Pass
female,7.9,4.6,5.6,1.2,no,yes,67,11,58,29,0,Just Pass
male,7.7,5.2,2.9,2.4,no,no,42,6,52,16,23,Worst
female,4.2,3.8,2.0,0.8,no,no,33,23,37,18,0,Worst
male,5.3,1.1,6.5,3.2,no,no,78,41,17,72,63,Decent
male,6.6,0.0,4.7,2.6,no,no,22,52,15,83,54,Just Pass
male,6.5,0.0,5.7,3.7,no,no,94,100,81,69,19,Nice
male,5.2,0.5,3.7,5.8,no,no,97,36,28,83,100,Decent
female,7.6,1.2,9.4,4.6,no,no,71,54,97,100,92,Good
female,7.4,2.7,2.8,4.0,no,no,100,35,71,63,53,Decent
female,6.7,1.0,7.5,0.0,no,no,65,37,53,100,100,Nice
male,5.9,3.7,3.9,3.9,no,no,77,44,78,31,100,Decent
female,8.6,2.5,0.7,6.4,no,no,100,38,100,100,23,Nice
male,9.5,3.0,5.0,0.0,no,no,66,94,24,24,61,Decent
female,6.3,5.3,4.6,4.4,no,no,49,48,61,59,87,Decent
female,6.1,0.6,1.9,2.7,no,no,11,20,93,54,26,Just Pass
female,7.7,3.8,2.2,1.3,no,yes,44,18,0,9,0,Worst
male,6.5,3.0,4.0,4.6,yes,no,93,15,17,93,22,Just Pass
female,6.8,2.3,4.7,6.4,no,no,67,41,72,47,47,Decent
female,8.1,4.8,0.0,4.6,no,no,34,29,56,68,97,Decent
male,4.1,4.8,6.1,2.3,no,no,51,12,8,80,78,Just Pass
female,9.0,1.1,3.0,1.1,no,no,77,77,45,24,10,Just Pass
male,7.1,2.6,1.3,3.3,no,no,5,84,56,100,83,Decent
female,6.4,3.6,5.9,4.7,no,no,100,52,55,67,29,Decent
male,6.9,2.5,4.0,2.2,no,no,94,74,76,97,41,Nice
male,6.9,4.2,6.4,2.4,yes,no,45,29,68,57,22,Just Pass
female,4.4,3.6,4.9,8.6,no,no,33,37,67,85,48,Decent
male,9.2,6.7,4.0,5.2,no,no,71,43,46,38,34,Just Pass
male,7.1,0.0,3.7,5.3,no,no,34,76,91,98,96,Nice
male,7.7,2.8,5.0,0.1,no,no,50,4,55,2,26,Worst
male,8.4,1.2,3.2,1.6,no,no,15,71,93,61,86,Decent
male,5.5,4.2,2.3,3.1,no,no,60,76,50,5,11,Just Pass
male,7.7,0.0,5.2,1.0,no,no,41,95,67,40,69,Decent
female,6.6,3.7,3.7,6.2,no,no,97,24,26,23,100,Decent
male,8.3,1.7,4.1,5.8,no,no,98,19,100,100,26,Decent
male,3.8,1.5,6.2,1.9,no,no,100,13,48,68,69,Decent
female,6.9,0.1,3.8,6.6,no,no,50,100,96,91,76,Good
female,6.1,2.1,4.0,3.0,no,no,15,85,51,94,42,Decent
female,7.6,5.2,2.8,8.2,no,no,59,98,15,88,25,Decent
female,7.7,2.9,4.9,3.3,no,no,18,61,50,22,77,Just Pass
female,5.9,4.3,4.7,4.2,no,no,25,60,22,69,38,Just Pass
female,5.9,6.3,5.8,5.8,yes,no,54,24,34,92,28,Just Pass
female,6.8,3.5,2.8,5.6,no,no,71,96,44,33,83,Decent
male,5.7,1.9,3.1,4.0,no,no,15,93,31,72,100,Decent
male,8.3,3.9,5.6,2.7,no,no,50,45,18,62,39,Just Pass
female,6.4,1.9,4.5,4.0,no,no,67,46,86,53,88,Decent
male,2.6,2.0,2.2,1.4,no,no,18,65,67,87,87,Decent
male,6.4,0.0,6.6,3.3,no,no,100,21,45,54,28,Just Pass
male,5.4,4.9,0.6,0.8,no,no,7,76,40,0,43,Just Pass
female,4.6,2.2,5.6,0.0,no,no,26,45,47,97,2,Just Pass
female,5.1,3.4,1.5,3.1,no,no,18,47,38,75,85,Decent
male,7.2,0.9,7.8,5.5,no,no,36,91,52,59,53,Decent
female,9.0,3.9,0.9,4.9,no,no,93,70,24,34,39,Decent
male,7.5,1.5,6.3,2.8,no,no,41,40,100,100,82,Nice
male,6.1,2.7,3.8,6.5,no,no,90,100,100,45,96,Good
male,7.7,4.8,3.3,1.9,no,no,40,96,39,51,37,Decent
male,6.3,4.6,4.4,0.0,no,no,58,47,67,16,61,Just Pass
female,6.0,3.0,5.3,0.0,no,no,92,56,49,99,95,Nice
female,5.3,0.0,2.2,0.6,no,no,89,60,13,81,93,Decent
female,4.4,9.0,2.4,4.6,no,no,0,40,74,48,62,Just Pass
male,6.4,6.5,5.3,1.7,no,no,80,90,17,70,90,Decent
female,7.2,4.4,0.6,3.9,no,no,46,25,71,92,88,Decent
male,6.9,1.5,2.8,6.3,no,no,54,29,71,100,91,Decent
female,6.4,2.8,10.1,0.8,no,no,77,100,79,88,100,Good
male,5.6,1.9,2.1,4.0,no,no,100,31,57,94,91,Nice
male,7.9,5.5,6.3,4.1,no,no,17,82,78,47,58,Decent
male,5.0,3.5,2.8,1.3,no,no,75,19,2,38,49,Just Pass
female,8.2,1.4,5.0,5.7,no,no,41,100,25,100,21,Decent
female,5.5,2.1,5.3,2.4,no,no,47,88,98,84,12,Decent
female,5.9,5.2,6.3,2.2,no,no,90,94,77,93,77,Good
female,4.8,6.2,3.6,7.2,no,no,64,100,92,23,65,Decent
male,6.2,6.1,8.0,4.0,no,no,14,16,53,77,84,Just Pass
female,8.5,4.5,2.8,4.9,no,no,57,50,52,71,100,Decent
female,7.8,2.5,4.5,5.7,no,no,95,81,70,96,62,Nice
male,8.5,0.0,4.5,1.7,no,no,63,91,35,13,19,Just Pass
male,7.8,3.6,1.8,5.5,no,no,26,34,83,92,72,Decent
male,5.3,3.0,3.4,2.0,no,no,47,94,85,35,12,Decent
female,6.5,3.3,4.3,1.9,no,no,95,25,93,71,65,Decent
male,5.8,3.1,3.1,2.5,no,no,69,90,55,65,56,Decent
male,9.0,0.3,8.9,1.8,no,no,90,69,59,62,89,Nice
male,5.2,4.1,2.3,4.6,no,no,85,58,90,81,42,Nice
female,8.3,4.3,6.4,3.5,no,no,18,46,84,100,23,Decent
male,8.3,4.4,5.7,2.0,no,no,61,13,89,35,26,Just Pass
female,9.7,4.9,4.0,4.3,yes,no,28,25,56,65,59,Just Pass
female,6.4,4.2,2.3,2.4,no,no,13,42,88,31,47,Just Pass
male,8.1,2.2,2.5,2.3,no,no,25,52,13,89,59,Just Pass
male,10.4,2.9,3.0,3.1,no,no,84,79,73,49,38,Decent
female,6.1,3.2,0.4,3.9,no,no,20,39,12,48,87,Just Pass
male,4.7,3.2,2.0,3.8,no,no,36,45,79,82,100,Decent
male,4.2,5.0,1.0,2.3,yes,no,5,67,39,26,8,Worst
female,8.1,4.3,6.7,4.7,no,no,17,88,14,39,84,Just Pass
female,4.2,7.2,5.2,2.6,no,no,40,0,53,93,11,Just Pass
male,6.4,7.4,5.6,1.7,no,no,71,76,8,57,69,Decent
female,7.7,3.2,5.2,0.1,no,no,2,98,14,64,43,Just Pass
male,7.3,0.0,4.3,5.0,no,no,32,100,36,85,81,Decent
male,7.6,5.5,6.9,3.0,no,no,77,88,53,93,28,Decent
male,7.3,1.9,2.8,3.4,no,no,68,71,20,27,94,Decent
female,8.9,1.4,4.2,5.1,no,no,89,45,30,23,35,Just Pass
male,5.6,2.2,5.5,2.0,no,no,31,73,33,46,100,Decent
male,6.0,2.1,1.4,0.3,no,no,77,66,0,53,3,Just Pass
male,5.8,4.2,10.2,3.1,no,no,61,42,41,42,42,Just Pass
female,8.2,0.0,4.1,3.6,no,no,77,41,77,84,72,Decent
female,8.4,0.8,4.3,2.5,no,no,20,50,71,18,96,Decent
female,7.7,3.7,6.5,5.9,no,no,38,82,100,97,75,Nice
female,8.8,4.2,5.8,0.0,no,no,75,27,9,69,19,Just Pass
female,5.2,4.3,4.1,5.2,no,no,33,66,97,32,96,Decent
male,9.5,1.4,4.3,4.6,no,no,25,100,55,45,75,Decent
female,9.3,1.0,1.0,3.9,no,no,69,39,48,90,33,Decent
female,8.1,2.0,2.9,0.0,no,no,53,95,33,76,55,Decent
female,9.7,3.5,5.0,5.6,no,no,75,62,27,96,82,Decent
male,4.5,6.0,4.9,0.9,no,no,54,3,40,25,61,Just Pass
female,6.2,0.0,6.4,2.0,no,no,65,20,93,100,87,Nice
female,5.9,2.6,3.8,2.7,no,no,56,40,94,78,96,Nice
male,8.1,0.3,1.2,3.8,no,yes,79,12,83,0,69,Just Pass
female,5.4,0.0,6.1,4.3,no,no,75,100,100,69,82,Good
male,8.1,4.9,6.9,4.8,no,no,73,85,74,78,15,Decent
male,9.1,4.1,5.8,4.6,no,no,38,100,61,28,86,Decent
male,8.0,3.9,3.7,3.5,no,no,93,64,93,96,100,Good
male,7.4,4.8,6.1,3.8,no,no,10,51,81,83,38,Decent
male,5.5,2.0,10.9,0.8,no,no,68,40,29,21,73,Just Pass
female,5.7,2.1,4.2,1.5,no,no,43,63,73,96,81,Nice
male,8.9,7.4,1.4,4.8,no,no,58,59,41,38,61,Decent
male,8.2,2.5,2.8,4.7,yes,no,33,36,56,42,89,Decent
female,6.9,4.5,5.3,4.4,no,no,80,100,98,87,56,Good
male,6.4,3.0,0.8,2.0,no,no,1,62,64,63,52,Just Pass
female,4.0,0.0,4.3,4.8,no,no,56,99,100,59,19,Decent
female,5.4,0.0,4.8,0.7,no,no,92,71,95,34,99,Nice
female,9.9,1.8,7.1,5.2,no,no,46,52,33,72,47,Decent
male,5.1,5.1,6.6,2.5,no,no,9,77,5,61,100,Decent
male,7.3,4.6,5.7,6.4,no,no,65,39,54,79,36,Decent
male,8.5,4.8,0.0,0.0,no,no,85,47,74,48,13,Decent
female,5.1,1.0,5.8,6.5,no,no,31,65,48,86,73,Decent
male,7.3,6.2,5.4,2.3,no,no,6,13,68,46,65,Just Pass
male,8.4,1.1,4.5,2.2,no,no,69,51,57,66,54,Decent
male,7.0,3.4,0.5,3.4,no,no,27,33,76,30,37,Just Pass
female,11.3,3.0,2.4,1.6,no,no,41,11,16,15,54,Worst
female,4.5,2.7,1.7,2.9,no,no,85,84,25,62,97,Decent
male,8.6,5.7,0.0,1.5,no,no,9,39,14,0,86,Worst
male,6.7,1.6,4.0,1.6,no,no,77,40,60,12,38,Just Pass
male,8.2,0.3,2.4,4.0,no,no,64,64,42,38,82,Decent
male,7.7,3.0,9.3,1.2,no,no,100,85,91,29,82,Nice
female,5.9,2.2,3.7,1.5,no,no,100,5,38,41,69,Decent
female,7.3,9.8,6.6,0.3,no,no,34,40,52,23,0,Worst
female,4.2,4.4,0.9,2.0,no,no,51,40,87,4,46,Just Pass
female,7.9,2.2,2.9,5.6,no,no,89,100,75,39,91,Nice
male,7.4,0.9,4.2,1.3,no,no,38,62,31,7,27,Just Pass
male,8.0,0.0,2.2,1.5,no,no,29,20,90,42,41,Just Pass
male,8.6,0.9,3.2,3.4,no,no,100,50,13,91,32,Decent
female,7.6,3.2,3.6,2.3,no,no,47,66,29,30,92,Decent
male,7.2,5.9,3.5,7.5,no,no,13,17,51,77,98,Decent
female,5.7,5.2,7.7,2.7,no,no,89,94,25,15,22,Just Pass
female,5.9,3.5,4.8,3.7,no,no,68,15,69,10,85,Just Pass
male,8.8,2.4,5.0,4.9,no,no,32,19,71,65,52,Just Pass
male,9.2,3.5,5.1,4.8,no,no,16,13,53,59,81,Just Pass
male,6.6,2.0,5.2,3.5,no,no,42,81,42,32,62,Decent
female,7.1,6.4,3.8,2.7,no,no,89,42,40,25,44,Just Pass
male,5.6,2.6,3.4,7.0,no,no,100,29,48,22,100,Decent
female,8.8,2.8,4.3,2.8,no,no,38,92,29,86,70,Decent
male,8.0,0.0,6.3,2.1,no,no,98,35,50,45,38,Decent
female,9.9,2.6,6.3,1.7,no,no,52,40,68,29,19,Just Pass
female,5.7,4.7,3.5,0.0,no,no,58,10,57,73,86,Decent
male,6.4,0.9,5.5,4.6,no,no,52,100,48,22,34,Decent
female,7.3,1.5,3.6,0.0,no,no,52,76,95,29,74,Decent
female,8.0,4.6,4.1,3.0,no,no,32,75,29,29,52,Just Pass
male,6.7,0.0,3.1,2.6,no,no,18,16,83,38,26,Just Pass
female,5.7,5.1,3.6,7.5,no,no,28,67,23,16,92,Just Pass
male,8.3,1.9,6.7,0.0,no,no,34,62,71,98,95,Nice
female,8.1,2.2,4.2,1.2,no,no,100,42,49,90,16,Decent
male,5.6,0.8,4.3,2.7,no,no,100,44,68,53,18,Decent
male,9.0,3.8,1.1,2.6,no,no,81,84,17,43,83,Decent
female,8.8,7.9,3.4,1.9,no,no,14,0,34,43,41,Worst
female,7.2,4.6,3.5,2.8,no,no,46,64,78,49,69,Decent
female,7.1,1.3,2.3,0.5,no,no,44,40,77,78,45,Decent
female,7.8,5.3,4.0,3.7,no,no,41,69,26,51,44,Just Pass
female,5.7,2.4,3.1,0.0,no,no,2,17,33,16,27,Worst
male,7.0,5.7,4.2,2.9,no,no,53,23,0,11,56,Worst
female,3.8,4.6,4.2,1.8,yes,no,0,38,0,71,0,Worst
male,8.3,0.0,2.1,5.0,no,no,98,100,30,22,89,Decent
male,4.7,1.0,3.2,6.5,no,no,89,100,49,100,74,Good
female,9.3,4.9,4.2,2.3,no,no,35,24,75,69,84,Decent
male,6.5,3.3,6.4,5.8,no,no,82,28,69,58,100,Decent
male,6.7,1.0,4.5,2.4,no,no,34,70,90,29,100,Decent
male,6.1,1.7,2.7,1.1,no,no,29,44,78,34,63,Just Pass
male,6.6,0.0,4.8,6.5,yes,no,42,87,69,63,42,Decent
female,9.1,2.8,7.4,4.0,no,no,95,68,65,81,51,Nice
male,3.3,7.4,5.8,3.0,no,no,13,43,85,61,57,Decent
